＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161060091,FUT_TOA3M_260915,,202606,,99.5225,,,,,992,無担保コールO/N物レート
161090091,FUT_TOA3M_261215,,202609,,99.4875,,,,,1083,無担保コールO/N物レート
161120091,FUT_TOA3M_270316,,202612,,99.45,,,,,1174,無担保コールO/N物レート
162030091,FUT_TOA3M_270615,,202703,,99.4125,,,,,1265,無担保コールO/N物レート
162060091,FUT_TOA3M_270914,,202706,,99.3725,,,,,1356,無担保コールO/N物レート
162090091,FUT_TOA3M_271214,,202709,,99.33,,,,,1447,無担保コールO/N物レート
162120091,FUT_TOA3M_280314,,202712,,99.2875,,,,,1538,無担保コールO/N物レート
163030091,FUT_TOA3M_280620,,202803,,99.24,,,,,1636,無担保コールO/N物レート
163060091,FUT_TOA3M_280919,,202806,,99.195,,,,,1727,無担保コールO/N物レート
163090091,FUT_TOA3M_281219,,202809,,99.155,,,,,1818,無担保コールO/N物レート
169030011,FUT_MOTH_240307,,202403,,706,706,706.41,,0.0655,70,東証グロース市場250指数
169060011,FUT_MOTH_240613,,202406,,706,706,706.41,,0.1564,168,東証グロース市場250指数
169090011,FUT_MOTH_240912,,202409,,706,706,706.41,,0.2355,259,東証グロース市場250指数
169120011,FUT_MOTH_241212,,202412,,706,706,706.41,,0.2355,350,東証グロース市場250指数
160030011,FUT_MOTH_250313,,202503,,706,706,706.41,,0.2355,441,東証グロース市場250指数
169010078,FUT_TAIX_240116,,202401,,17869,,17930.81,,,19,台湾加権
169020078,FUT_TAIX_240220,,202402,,17855,,17930.81,,,54,台湾加権
169030078,FUT_TAIX_240319,,202403,,17848,,17930.81,,,83,台湾加権
169060078,FUT_TAIX_240618,,202406,,17810,,17930.81,,,173,台湾加権
169090078,FUT_TAIX_240917,,202409,,17591,,17930.81,,,264,台湾加権
169010079,FUT_FT50_240130,,202401,,10940,,10936.31,,,33,FTSE中国50
169020079,FUT_FT50_240228,,202402,,10985,,10936.31,,,62,FTSE中国50
169030079,FUT_FT50_240327,,202403,,10980,,10936.31,,,90,FTSE中国50
169060079,FUT_FT50_240627,,202406,,10955,,10936.31,,,182,FTSE中国50
169010015,FUT_NVI_240109,,202401,,18.95,,17.46,,,12,日経平均VI
169020015,FUT_NVI_240206,,202402,,19.7,,17.46,,,40,日経平均VI
169030015,FUT_NVI_240312,,202403,,20.7,,17.46,,,75,日経平均VI
169040015,FUT_NVI_240409,,202404,,20.2,,17.46,,,103,日経平均VI
169050015,FUT_NVI_240514,,202405,,20.5,,17.46,,,138,日経平均VI
169060015,FUT_NVI_240611,,202406,,20.5,,17.46,,,166,日経平均VI
169070015,FUT_NVI_240709,,202407,,20.9,,17.46,,,194,日経平均VI
169080015,FUT_NVI_240813,,202408,,21,,17.46,,,229,日経平均VI
199010018,CAL_225_240111_10000,CAL,202401,10000,23470,23470,33464.17,220.3835,-0.0236,14,日経225
149132018,CAL_225_240111_12000,CAL,202401,12000,21470,21470,33464.17,188.3923,-0.0236,14,日経225
149134018,CAL_225_240111_14000,CAL,202401,14000,19470,19470,33464.17,161.4123,-0.0236,14,日経225
199015018,CAL_225_240111_15000,CAL,202401,15000,18470,18470,33464.17,149.3393,-0.0236,14,日経225
149136018,CAL_225_240111_16000,CAL,202401,16000,17470,17470,33464.17,138.0381,-0.0236,14,日経225
199018018,CAL_225_240111_18000,CAL,202401,18000,15470,15470,33464.17,117.3688,-0.0236,14,日経225
199019018,CAL_225_240111_19000,CAL,202401,19000,14470,14470,33464.17,107.8487,-0.0236,14,日経225
199019518,CAL_225_240111_19500,CAL,202401,19500,13970,13970,33464.17,103.2648,-0.0236,14,日経225
149130018,CAL_225_240111_20000,CAL,202401,20000,13470,13470,33464.17,98.7894,-0.0236,14,日経225
199010518,CAL_225_240111_20500,CAL,202401,20500,12970,12970,33464.17,94.4164,-0.0236,14,日経225
199011018,CAL_225_240111_21000,CAL,202401,21000,12470,12470,33464.17,90.1401,-0.0236,14,日経225
199011518,CAL_225_240111_21500,CAL,202401,21500,11970,11970,33464.17,85.9551,-0.0236,14,日経225
199012018,CAL_225_240111_22000,CAL,202401,22000,11470,11470,33464.17,81.8564,-0.0236,14,日経225
199012518,CAL_225_240111_22500,CAL,202401,22500,10970,10965,33464.17,67.7747,-0.0236,14,日経225
199013018,CAL_225_240111_23000,CAL,202401,23000,10470,10465,33464.17,64.0796,-0.0236,14,日経225
199013518,CAL_225_240111_23500,CAL,202401,23500,9970,9965,33464.17,60.6353,-0.0236,14,日経225
199014018,CAL_225_240111_24000,CAL,202401,24000,9470,9465,33464.17,57.254,-0.0236,14,日経225
149014218,CAL_225_240111_24250,CAL,202401,24250,9220,9215,33464.17,55.5859,-0.0236,14,日経225
149014518,CAL_225_240111_24500,CAL,202401,24500,8970,8965,33464.17,53.9323,-0.0236,14,日経225
149014718,CAL_225_240111_24750,CAL,202401,24750,8720,8715,33464.17,52.2927,-0.0236,14,日経225
149015018,CAL_225_240111_25000,CAL,202401,25000,8470,8465,33464.17,50.6667,-0.0236,14,日経225
149015218,CAL_225_240111_25250,CAL,202401,25250,8220,8215,33464.17,49.0605,-0.0236,14,日経225
149015518,CAL_225_240111_25500,CAL,202401,25500,7970,7965,33464.17,47.4542,-0.0236,14,日経225
149015718,CAL_225_240111_25750,CAL,202401,25750,7720,7716,33464.17,47.1202,-0.0236,14,日経225
149016018,CAL_225_240111_26000,CAL,202401,26000,7470,7466,33464.17,45.5078,-0.0236,14,日経225
149016218,CAL_225_240111_26250,CAL,202401,26250,7220,7216,33464.17,43.9072,-0.0236,14,日経225
149016518,CAL_225_240111_26500,CAL,202401,26500,6970,6966,33464.17,43.2622,-0.0236,14,日経225
149016718,CAL_225_240111_26750,CAL,202401,26750,6720,6716,33464.17,41.6541,-0.0236,14,日経225
